Exercício: 2016;;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta; Valor ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.6.0.0.30.00.00 - Tarifa de Utilização de Faróis;siconfi-cor_RO1.6.0.0.30.00.00; R$ 7.384,00 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.6.0.0.99.00.00 - Outros Serviços;siconfi-cor_RO1.6.0.0.99.00.00; R$ 590.000,00 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.0.0.00.00.00 - Transferências Correntes;siconfi-cor_RO1.7.0.0.00.00.00; R$ 1.383.464.905,68 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.0.00.00.00 - Transferências Intergovernamentais;siconfi-cor_RO1.7.2.0.00.00.00; R$ 1.380.806.380,19 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.00.00.00 - Transferências da União;siconfi-cor_RO1.7.2.1.00.00.00; R$ 873.325.015,40 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.01.00.00 - Participação na Receita da União;siconfi-cor_RO1.7.2.1.01.00.00; R$ 520.206.530,34 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM;siconfi-cor_RO1.7.2.1.01.02.00; R$ 520.133.343,97 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR;siconfi-cor_RO1.7.2.1.01.05.00; R$ 73.186,37 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.22.00.00 - Transferências da Compensação Financeira pela Exploração de Recursos Naturais;siconfi-cor_RO1.7.2.1.22.00.00; R$ 11.698.834,50 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.22.20.00 - Cota-Parte da Compensação Financeira de Recursos Minerais - CFEM;siconfi-cor_RO1.7.2.1.22.20.00; R$ 1.268.610,90 ;
